"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.137.7","192.168.137.1","DNS","89","Standard query 0x3006 A connectivitycheck.gstatic.com"
"2","0.015287","192.168.137.1","192.168.137.7","DNS","134","Standard query response 0x3006 A connectivitycheck.gstatic.com A 142.250.4.94"
"3","0.021239","192.168.137.7","142.250.4.94","TCP","74","39666  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=4276230413 TSecr=0 WS=512"
"4","0.061557","142.250.4.94","192.168.137.7","TCP","74","443  >  39666 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM TSval=1010574538 TSecr=4276230413 WS=256"
"5","0.066904","192.168.137.7","142.250.4.94","TCP","66","39666  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=4276230455 TSecr=1010574538"
"6","0.081809","192.168.137.7","142.250.4.94","TLSv1.3","583","Client Hello (SNI=connectivitycheck.gstatic.com)"
"7","0.122204","142.250.4.94","192.168.137.7","TCP","66","443  >  39666 [ACK] Seq=1 Ack=518 Win=268288 Len=0 TSval=1010574599 TSecr=4276230473"
"8","0.122431","142.250.4.94","192.168.137.7","TLSv1.3","1454","Server Hello, Change Cipher Spec"
"9","0.122549","142.250.4.94","192.168.137.7","TCP","1454","443  >  39666 [PSH, ACK] Seq=1389 Ack=518 Win=268800 Len=1388 TSval=1010574599 TSecr=4276230473 [TCP PDU reassembled in 10]"
"10","0.122645","142.250.4.94","192.168.137.7","TLSv1.3","1428","Application Data"
"11","0.125852","192.168.137.7","142.250.4.94","TCP","66","39666  >  443 [ACK] Seq=518 Ack=1389 Win=68608 Len=0 TSval=4276230517 TSecr=1010574599"
"12","0.125852","192.168.137.7","142.250.4.94","TCP","66","39666  >  443 [ACK] Seq=518 Ack=2777 Win=71168 Len=0 TSval=4276230518 TSecr=1010574599"
"13","0.125852","192.168.137.7","142.250.4.94","TCP","66","39666  >  443 [ACK] Seq=518 Ack=4139 Win=74240 Len=0 TSval=4276230518 TSecr=1010574599"
"14","0.185989","192.168.137.7","142.250.4.94","TLSv1.3","130","Change Cipher Spec, Application Data"
"15","0.224733","142.250.4.94","192.168.137.7","TCP","66","443  >  39666 [ACK] Seq=4139 Ack=582 Win=268800 Len=0 TSval=1010574705 TSecr=4276230578"
"16","0.227805","192.168.137.7","142.250.4.94","TLSv1.3","320","Application Data"
