"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.137.7","57.144.100.192","UDP","78","48513  >  443 Len=36"
"2","0.000000","192.168.137.7","57.144.100.192","UDP","78","48513  >  443 Len=36"
"3","0.008294","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"4","0.008356","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"5","0.008380","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"6","0.008399","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"7","0.008419","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"8","0.012090","57.144.100.192","192.168.137.7","UDP","90","443  >  48513 Len=48"
"9","0.016478","192.168.137.7","57.144.100.192","UDP","174","36465  >  443 Len=132"
"10","0.046166","57.144.100.192","192.168.137.7","UDP","346","443  >  48513 Len=304"
"11","0.046260","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"12","0.046310","57.144.192.196","192.168.137.7","UDP","154","443  >  46629 Len=112"
"13","0.046346","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"14","0.046380","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"15","0.046415","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"16","0.046449","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"17","0.046504","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"18","0.046540","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"19","0.046587","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"20","0.046625","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"21","0.046661","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"22","0.046694","57.144.100.192","192.168.137.7","UDP","90","443  >  48513 Len=48"
"23","0.046727","57.144.100.192","192.168.137.7","UDP","1242","443  >  48513 Len=1200"
"24","0.046764","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"25","0.046867","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"26","0.046956","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
