"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.137.7","192.168.137.1","DNS","86","Standard query 0xb62d A test-gateway.instagram.com"
"2","0.000000","192.168.137.7","57.144.192.196","QUIC","1294","Initial, DCID=f9143bb320c85495, PKN: 10003053, CRYPTO, PADDING"
"3","0.010806","192.168.137.7","64.233.170.113","UDP","631","40907  >  443 Len=589"
"4","0.031156","192.168.137.1","192.168.137.7","DNS","190","Standard query response 0xb62d A test-gateway.instagram.com CNAME dgw-ig.c10r.facebook.com A 57.144.192.196"
"5","0.036767","57.144.192.196","192.168.137.7","QUIC","1274","Initial, SCID=b200cf0a049dd493, PKN: 12843237, CRYPTO, ACK, PADDING"
"6","0.036972","57.144.192.196","192.168.137.7","QUIC","261","Handshake, SCID=b200cf0a049dd493"
"7","0.037061","57.144.192.196","192.168.137.7","QUIC","122","Protected Payload (KP0)"
"8","0.039257","192.168.137.7","216.239.32.223","UDP","117","43795  >  443 Len=75"
"9","0.040452","192.168.137.7","216.239.32.223","UDP","1288","43795  >  443 Len=1246"
"10","0.041318","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"11","0.044144","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"12","0.044144","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"13","0.044144","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"14","0.044144","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"15","0.044144","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"16","0.044144","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"17","0.044144","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"18","0.044144","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"19","0.044144","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"20","0.044144","192.168.137.7","64.233.170.113","UDP","563","40907  >  443 Len=521"
"21","0.047212","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"22","0.047212","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"23","0.048522","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"24","0.048522","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
"25","0.050231","192.168.137.7","57.144.192.196","QUIC","127","Handshake, DCID=b200cf0a049dd493"
"26","0.050231","192.168.137.7","57.144.192.196","QUIC","110","Protected Payload (KP0), DCID=b200cf0a049dd493"
"27","0.050805","192.168.137.7","216.239.32.223","UDP","1292","43795  >  443 Len=1250"
